No,Kode,Saham,Papan Pencatatan
1,Saham_001,1.924.688.333,Utama
2,Saham_002,3.935.892.857,Pemantauan Khusus
3,Saham_003,620.806.680,Pemantauan Khusus
4,Saham_004,2.753.165.000,Utama
5,Saham_005,17.120.389.700,Utama
6,Saham_006,17.675.160.000,Pengembangan
7,Saham_007,589.896.800,Pengembangan
8,Saham_008,8.407.608.979,Utama
9,Saham_009,9.311.800.000,Utama
10,Saham_010,6.449.463.636,Pemantauan Khusus
11,Saham_011,612.248.000,Pengembangan
12,Saham_012,20.073.474.600,Utama
13,Saham_013,720.000.000,Pengembangan
14,Saham_014,2.700.713.744,Pengembangan
15,Saham_015,507.665.055,Pengembangan
16,Saham_016,3.816.000.000,Pemantauan Khusus
17,Saham_017,2.191.870.558,Pemantauan Khusus
18,Saham_018,5.001.552.516,Pengembangan
19,Saham_019,434.000.000,Pengembangan
20,Saham_020,1.080.000.000,Pengembangan
21,Saham_021,41.524.501.700,Utama
22,Saham_022,3.354.175.000,Pengembangan
23,Saham_023,24.030.764.725,Utama
24,Saham_024,3.546.466.661,Pengembangan
25,Saham_025,11.766.313.488,Pengembangan
26,Saham_026,1.075.760.000,Pengembangan
27,Saham_027,1.362.671.400,Pengembangan
28,Saham_028,22.699.326.779,Utama
29,Saham_029,3.174.339.029,Pengembangan
30,Saham_030,3.750.000.000,Pengembangan
31,Saham_031,7.341.430.976,Utama
32,Saham_032,446.674.175,Pengembangan
33,Saham_033,7.840.000.000,Pemantauan Khusus
34,Saham_034,13.722.768.400,Utama
35,Saham_035,348.386.472,Pengembangan
36,Saham_036,384.000.000,Pengembangan
37,Saham_037,1.348.780.500,Utama
38,Saham_038,40.483.553.140,Utama
39,Saham_039,1.400.000.000,Pengembangan
40,Saham_040,8.958.380.460,Pemantauan Khusus
41,Saham_041,19.649.411.888,Utama
42,Saham_042,1.277.992.036,Pengembangan
43,Saham_043,3.691.137.517,Utama
44,Saham_044,2.315.361.355,Pengembangan
45,Saham_045,4.819.733.000,Utama
46,Saham_046,44.014.333.126,Pengembangan
47,Saham_047,19.753.494.636,Utama
48,Saham_048,1.800.000.000,Pengembangan
49,Saham_049,3.934.592.500,Utama
50,Saham_050,661.784.520,Pengembangan
51,Saham_051,1.300.000.000,Pemantauan Khusus
52,Saham_052,353.220.780,Utama
53,Saham_053,122.042.299.500,Utama
54,Saham_054,21.512.953.877,Utama
55,Saham_055,185.819.884.852,Pengembangan
56,Saham_056,1.645.796.054,Pengembangan
57,Saham_057,4.049.189.100,Pengembangan
58,Saham_058,36.924.339.786,Utama
59,Saham_059,150.043.411.587,Utama
60,Saham_060,8.479.490.328,Pengembangan
61,Saham_061,13.894.099.969,Utama
62,Saham_062,13.216.977.523,Utama
63,Saham_063,42.618.850.927,Utama
64,Saham_064,17.926.071.041,Pengembangan
65,Saham_065,1.429.915.525,Pengembangan
66,Saham_066,9.675.817.341,Utama
67,Saham_067,51.351.733.883,Pemantauan Khusus
68,Saham_068,9.647.311.150,Utama
69,Saham_069,15.039.383.620,Utama
70,Saham_070,23.731.287.132,Utama
71,Saham_071,86.068.156.705,Pemantauan Khusus
72,Saham_072,592.280.000,Pemantauan Khusus
73,Saham_073,608.175.716,Pemantauan Khusus
74,Saham_074,6.073.369.498,Utama
75,Saham_075,63.710.196.917,Pengembangan
76,Saham_076,5.028.669.376,Pemantauan Khusus
77,Saham_077,2.502.100.000,Utama
78,Saham_078,3.000.000.000,Utama
79,Saham_079,10.416.229.249,Utama
80,Saham_080,14.865.343.101,Utama
81,Saham_081,7.513.992.252,Pemantauan Khusus
82,Saham_082,167.708.902.705,Utama
83,Saham_083,34.806.467.881,Pengembangan
84,Saham_084,25.940.187.103,Pemantauan Khusus
85,Saham_085,873.937.142,Pemantauan Khusus
86,Saham_086,17.921.635.680,Pengembangan
87,Saham_087,92.399.999.996,Utama
88,Saham_088,1.159.200.024,Pengembangan
89,Saham_089,16.583.997.586,Utama
90,Saham_090,3.354.120.000,Pengembangan
91,Saham_091,173.416.832.509,Pemantauan Khusus
92,Saham_092,24.890.783.784,Utama
93,Saham_093,75.357.433.911,Utama
94,Saham_094,35.819.545.925,Utama
95,Saham_095,2.343.750.000,Pengembangan
96,Saham_096,2.673.995.362,Pengembangan
97,Saham_097,9.884.153.240,Pengembangan
98,Saham_098,450.056.980,Pengembangan
99,Saham_099,141.784.040.338,Utama
100,Saham_100,979.110.000,Pengembangan
101,Saham_101,93.747.218.044,Utama
102,Saham_102,21.171.365.812,Utama
103,Saham_103,19.517.921.842,Utama
104,Saham_104,2.616.500.000,Pengembangan
105,Saham_105,3.651.978.177,Pemantauan Khusus
106,Saham_106,46.277.496.376,Pemantauan Khusus
107,Saham_107,36.822.665.755,Pemantauan Khusus
108,Saham_108,720.000.000,Pengembangan
109,Saham_109,10.536.203.690,Utama
110,Saham_110,4.498.997.362,Utama
111,Saham_111,2.640.452.000,Utama
112,Saham_112,15.494.436.593,Pengembangan
113,Saham_113,371.335.392.068,Utama
114,Saham_114,24.617.054.642,Pengembangan
115,Saham_115,18.235.266.754,Utama
116,Saham_116,31.525.291.000,Utama
117,Saham_117,33.333.335.000,Utama
118,Saham_118,833.440.000,Pemantauan Khusus
119,Saham_119,2.086.950.000,Utama
120,Saham_120,595.000.000,Pengembangan
121,Saham_121,31.183.464.900,Pengembangan
122,Saham_122,3.984.520.457,Utama
123,Saham_123,1.000.000.000,Pengembangan
124,Saham_124,3.960.361.250,Utama
125,Saham_125,306.338.500,Pengembangan
126,Saham_126,6.696.354.391,Utama
127,Saham_127,10.685.124.441,Pemantauan Khusus
128,Saham_128,8.956.361.206,Pemantauan Khusus
129,Saham_129,70.000.000,Pemantauan Khusus
130,Saham_130,4.871.214.021,Pemantauan Khusus
131,Saham_131,16.398.000.000,Utama
132,Saham_132,59.572.382.787,Pengembangan
133,Saham_133,5.683.175.151,Pengembangan
134,Saham_134,800.371.500,Pengembangan
135,Saham_135,18.535.695.255,Utama
136,Saham_136,1.230.839.821,Pengembangan
137,Saham_137,3.141.390.962,Pengembangan
138,Saham_138,687.266.666,Pengembangan
139,Saham_139,40.687.434.244,Utama
140,Saham_140,5.541.165.000,Pengembangan
141,Saham_141,10.365.854.185,Utama
142,Saham_142,5.638.246.600,Pengembangan
143,Saham_143,800.659.050,Utama
144,Saham_144,48.198.111.100,Utama
145,Saham_145,16.721.891.185,Pengembangan
146,Saham_146,14.184.000.000,Utama
147,Saham_147,7.651.007.132,Utama
148,Saham_148,331.129.952,Pengembangan
149,Saham_149,1.857.135.500,Pengembangan
150,Saham_150,10.599.842.400,Utama
151,Saham_151,7.705.523.200,Utama
152,Saham_152,1.850.000.000,Pengembangan
153,Saham_153,1.120.000.000,Pengembangan
154,Saham_154,4.272.964.279,Pengembangan
155,Saham_155,1.334.333.000,Pengembangan
156,Saham_156,3.493.875.000,Pengembangan
157,Saham_157,7.298.500.000,Utama
158,Saham_158,43.521.913.019,Pemantauan Khusus
159,Saham_159,3.350.000.000,Pengembangan
160,Saham_160,61.426.451.483,Utama
161,Saham_161,26.346.230.250,Utama
162,Saham_162,2.708.640.000,Pengembangan
163,Saham_163,15.950.000.000,Utama
164,Saham_164,1.286.539.792,Pengembangan
165,Saham_165,17.226.975.700,Utama
166,Saham_166,2.015.208.720,Pengembangan
167,Saham_167,4.668.671.400,Pemantauan Khusus
168,Saham_168,18.199.862.451,Utama
169,Saham_169,4.523.610.492,Pengembangan
170,Saham_170,3.221.255.423,Pemantauan Khusus
171,Saham_171,4.800.000.000,Pengembangan
172,Saham_172,6.400.000.000,Pengembangan
173,Saham_173,465.224.000,Pengembangan
174,Saham_174,5.566.414.000,Pengembangan
175,Saham_175,10.011.027.656,Pemantauan Khusus
176,Saham_176,9.242.500.000,Pengembangan
177,Saham_177,410.000.000,Pengembangan
178,Saham_178,1.600.000.000,Pengembangan
179,Saham_179,5.882.353.000,Utama
180,Saham_180,1.924.088.000,Utama
181,Saham_181,407.091.703.837,Pemantauan Khusus
182,Saham_182,3.484.800.000,Utama
183,Saham_183,1.111.112.000,Pemantauan Khusus
184,Saham_184,1.015.380.000,Pengembangan
185,Saham_185,1.277.276.000,Pengembangan
186,Saham_186,3.665.000.759,Pemantauan Khusus
187,Saham_187,4.276.655.336,Pengembangan
188,Saham_188,14.230.399.705,Pengembangan
189,Saham_189,2.500.000.000,Pengembangan
190,Saham_190,7.800.760.000,Utama
191,Saham_191,6.000.000.000,Pengembangan
192,Saham_192,2.120.000.000,Pemantauan Khusus
193,Saham_193,6.542.445.783,Pengembangan
194,Saham_194,4.183.634.000,Pengembangan
195,Saham_195,840.000.000,Utama
196,Saham_196,7.101.084.801,Pemantauan Khusus
197,Saham_197,116.318.076.900,Utama
198,Saham_198,22.212.194.782,Pemantauan Khusus
199,Saham_199,3.550.001.452,Pemantauan Khusus
200,Saham_200,13.518.100.000,Utama
201,Saham_201,31.275.829.981,Pengembangan
202,Saham_202,1.517.332.349,Pemantauan Khusus
203,Saham_203,1.350.904.927,Pemantauan Khusus
204,Saham_204,11.661.908.000,Utama
205,Saham_205,1.089.750.000,Pemantauan Khusus
206,Saham_206,927.780.600,Pengembangan
207,Saham_207,33.600.000.000,Pemantauan Khusus
208,Saham_208,13.305.799.387,Pemantauan Khusus
209,Saham_209,1.224.000.000,Pengembangan
210,Saham_210,3.994.291.039,Utama
211,Saham_211,10.849.262.500,Pengembangan
212,Saham_212,54.907.000.000,Utama
213,Saham_213,3.099.267.500,Pemantauan Khusus
214,Saham_214,633.600.000,Pengembangan
215,Saham_215,207.656.617,Pengembangan
216,Saham_216,10.539.784.534,Utama
217,Saham_217,8.780.426.500,Utama
218,Saham_218,654.351.707,Pengembangan
219,Saham_219,6.562.497.100,Pengembangan
220,Saham_220,437.913.588,Pengembangan
221,Saham_221,5.210.192.000,Utama
222,Saham_222,5.470.982.941,Utama
223,Saham_223,20.021.178.779,Utama
224,Saham_224,11.181.971.732,Pengembangan
225,Saham_225,1.388.883.283,Pengembangan
226,Saham_226,3.343.935.022,Pemantauan Khusus
227,Saham_227,591.828.000,Pengembangan
228,Saham_228,3.515.602.799,Utama
229,Saham_229,6.443.379.509,Pengembangan
230,Saham_230,32.250.810.957,Utama
231,Saham_231,7.185.992.035,Utama
232,Saham_232,999.053.167,Pengembangan
233,Saham_233,1.129.925.000,Utama
234,Saham_234,16.232.951.842,Pengembangan
235,Saham_235,756.000.000,Pengembangan
236,Saham_236,2.329.040.482,Pengembangan
237,Saham_237,16.308.519.860,Utama
238,Saham_238,11.726.575.201,Utama
239,Saham_239,12.910.719.100,Utama
240,Saham_240,7.257.871.200,Utama
241,Saham_241,2.318.736.000,Pengembangan
242,Saham_242,6.852.050.000,Utama
243,Saham_243,5.566.589.577,Pengembangan
244,Saham_244,587.152.700,Pemantauan Khusus
245,Saham_245,4.007.235.107,Utama
246,Saham_246,1.120.000.000,Pengembangan
247,Saham_247,1.742.167.907,Pengembangan
248,Saham_248,8.687.995.734,Pemantauan Khusus
249,Saham_249,1.620.000.000,Pengembangan
250,Saham_250,14.929.100.000,Pemantauan Khusus
251,Saham_251,276.000.000,Pengembangan
252,Saham_252,20.824.888.369,Utama
253,Saham_253,5.000.000.000,Utama
254,Saham_254,46.813.391.540,Utama
255,Saham_255,2.272.500.000,Pengembangan
256,Saham_256,980.843.732,Pemantauan Khusus
257,Saham_257,312.000.000,Pengembangan
258,Saham_258,697.266.668,Pengembangan
259,Saham_259,99.857.559.263,Utama
260,Saham_260,19.346.396.900,Pengembangan
261,Saham_261,18.208.470.100,Pemantauan Khusus
262,Saham_262,3.966.350.139,Pengembangan
263,Saham_263,5.630.000.914,Pemantauan Khusus
264,Saham_264,5.799.616.328,Pengembangan
265,Saham_265,2.863.195.484,Pengembangan
266,Saham_266,520.160.000,Pengembangan
267,Saham_267,787.851.525,Pemantauan Khusus
268,Saham_268,1.008.517.669,Pengembangan
269,Saham_269,96.000.000,Pemantauan Khusus
270,Saham_270,5.134.685.692,Pengembangan
271,Saham_271,3.000.000.000,Pengembangan
272,Saham_272,425.000.000,Pengembangan
273,Saham_273,70.898.018.369,Utama
274,Saham_274,1.170.432.803,Pengembangan
275,Saham_275,2.258.279.280,Utama
276,Saham_276,2.588.250.000,Pengembangan
277,Saham_277,350.000.022,Pengembangan
278,Saham_278,6.819.963.965,Utama
279,Saham_279,1.560.000.000,Utama
280,Saham_280,9.000.000.004,Pemantauan Khusus
281,Saham_281,2.238.750.000,Utama
282,Saham_282,16.600.000.000,Utama
283,Saham_283,25.906.179.152,Utama
284,Saham_284,1.227.271.952,Pengembangan
285,Saham_285,1.750.026.639,Utama
286,Saham_286,1.070.000.000,Pengembangan
287,Saham_287,37.540.533.209,Utama
288,Saham_288,39.215.538.400,Pemantauan Khusus
289,Saham_289,24.472.983.771,Utama
290,Saham_290,12.533.067.322,Pengembangan
291,Saham_291,7.632.167.798,Pemantauan Khusus
292,Saham_292,25.136.231.252,Utama
293,Saham_293,11.623.514.905,Utama
294,Saham_294,448.000.000,Pengembangan
295,Saham_295,17.710.708.194,Pemantauan Khusus
296,Saham_296,757.581.000,Pemantauan Khusus
297,Saham_297,3.410.965.825,Pengembangan
298,Saham_298,600.000.000,Pengembangan
299,Saham_299,33.435.294.800,Utama
300,Saham_300,13.907.481.500,Utama
301,Saham_301,3.961.452.039,Pemantauan Khusus
302,Saham_302,3.750.526.603,Pengembangan
303,Saham_303,948.194.000,Pengembangan
304,Saham_304,2.107.000.000,Utama
305,Saham_305,6.615.000.000,Utama
306,Saham_306,15.682.323.987,Utama
307,Saham_307,1.875.000.000,Pengembangan
308,Saham_308,6.889.134.608,Utama
309,Saham_309,15.049.787.710,Utama
310,Saham_310,4.386.963.276,Utama
311,Saham_311,12.966.640.084,Pemantauan Khusus
312,Saham_312,428.000.000,Pengembangan
313,Saham_313,517.791.681,Utama
314,Saham_314,1.994.370.480,Pengembangan
315,Saham_315,12.276.884.585,Utama
316,Saham_316,31.842.082.852,Pemantauan Khusus
317,Saham_317,7.655.126.330,Utama
318,Saham_318,232.848.000,Pemantauan Khusus
319,Saham_319,2.206.312.500,Pengembangan
320,Saham_320,22.358.699.725,Utama
321,Saham_321,7.747.281.949,Pemantauan Khusus
322,Saham_322,2.350.000.000,Pengembangan
323,Saham_323,2.523.350.000,Pengembangan
324,Saham_324,22.198.871.804,Pengembangan
325,Saham_325,22.715.776.032,Utama
326,Saham_326,7.403.659.460,Pengembangan
327,Saham_327,2.496.258.344,Pengembangan
328,Saham_328,273.200.000,Pemantauan Khusus
329,Saham_329,2.373.449.165,Pengembangan
330,Saham_330,2.945.211.000,Pemantauan Khusus
331,Saham_331,11.307.246.524,Pemantauan Khusus
332,Saham_332,15.732.874.458,Pengembangan
333,Saham_333,1.387.500.000,Utama
334,Saham_334,720.000.000,Utama
335,Saham_335,21.482.028.246,Pemantauan Khusus
336,Saham_336,715.000.000,Pengembangan
337,Saham_337,2.833.417.056,Pengembangan
338,Saham_338,24.241.508.196,Utama
339,Saham_339,488.000.000,Pengembangan
340,Saham_340,568.375.000,Pengembangan
341,Saham_341,1.599.999.996,Pengembangan
342,Saham_342,1.200.000.000,Pengembangan
343,Saham_343,1.184.200.000,Pemantauan Khusus
344,Saham_344,3.550.000.000,Pemantauan Khusus
345,Saham_345,23.837.645.998,Utama
346,Saham_346,38.425.504.906,Pengembangan
347,Saham_347,4.068.323.920,Utama
348,Saham_348,32.022.073.293,Utama
349,Saham_349,26.460.000.000,Pengembangan
350,Saham_350,1.440.000.000,Pengembangan
351,Saham_351,10.351.231.636,Pengembangan
352,Saham_352,11.520.659.250,Utama
353,Saham_353,550.165.300,Pengembangan
354,Saham_354,6.199.897.354,Utama
355,Saham_355,10.086.050.000,Utama
356,Saham_356,5.314.344.000,Pengembangan
357,Saham_357,220.808.000,Pengembangan
358,Saham_358,659.120.000,Pengembangan
359,Saham_359,48.159.602.400,Utama
360,Saham_360,11.236.694.298,Pengembangan
361,Saham_361,4.227.082.500,Utama
362,Saham_362,7.096.000.000,Utama
363,Saham_363,1.564.487.500,Pengembangan
364,Saham_364,2.656.212.826,Pemantauan Khusus
365,Saham_365,268.800.000,Pengembangan
366,Saham_366,1.800.000.000,Pengembangan
367,Saham_367,641.717.510,Pemantauan Khusus
368,Saham_368,609.130.000,Pengembangan
369,Saham_369,45.080.600.000,Pemantauan Khusus
370,Saham_370,13.592.128.209,Pemantauan Khusus
371,Saham_371,6.186.488.888,Pengembangan
372,Saham_372,770.000.000,Pengembangan
373,Saham_373,821.207.512,Pengembangan
374,Saham_374,17.147.132.545,Utama
375,Saham_375,822.333.600,Pengembangan
376,Saham_376,73.970.569.505,Utama
377,Saham_377,3.600.000,Pemantauan Khusus
